image,part,ground_truth,predicted_label,predicted_class,injury_prob,no_injury_prob,injury_score,correct,mask_path
001.png,right_hand,no_injury,no_injury,no_injury,0.00001230,0.99998772,0.00001230,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/001_right_arm_gaussian_mask.png
001.png,left_hand,no_injury,no_injury,no_injury,0.00000324,0.99999678,0.00000324,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/001_left_arm_gaussian_mask.png
001.png,right_leg,no_injury,no_injury,no_injury,0.00023628,0.99976367,0.00023628,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/001_right_leg_gaussian_mask.png
001.png,left_leg,injury,injury,injury,0.99920541,0.00079463,0.99920541,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/001_left_leg_gaussian_mask.png
002.png,right_hand,no_injury,no_injury,no_injury,0.02808843,0.97191161,0.02808843,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/002_right_arm_gaussian_mask.png
002.png,left_hand,injury,injury,injury,0.51816380,0.48183623,0.51816380,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/002_left_arm_gaussian_mask.png
002.png,right_leg,no_injury,no_injury,no_injury,0.00011854,0.99988139,0.00011854,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/002_right_leg_gaussian_mask.png
002.png,left_leg,injury,injury,injury,0.54704112,0.45295888,0.54704112,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/002_left_leg_gaussian_mask.png
003.png,right_hand,no_injury,no_injury,no_injury,0.00134551,0.99865448,0.00134551,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/003_right_arm_gaussian_mask.png
003.png,left_hand,injury,injury,injury,0.69961011,0.30038992,0.69961011,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/003_left_arm_gaussian_mask.png
003.png,right_leg,injury,injury,injury,0.55926186,0.44073817,0.55926186,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/003_right_leg_gaussian_mask.png
003.png,left_leg,no_injury,no_injury,no_injury,0.00000086,0.99999917,0.00000086,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/003_left_leg_gaussian_mask.png
004.png,right_hand,no_injury,no_injury,no_injury,0.00010012,0.99989986,0.00010012,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/004_right_arm_gaussian_mask.png
004.png,left_hand,no_injury,no_injury,no_injury,0.00008306,0.99991691,0.00008306,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/004_left_arm_gaussian_mask.png
004.png,right_leg,no_injury,no_injury,no_injury,0.00011348,0.99988651,0.00011348,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/004_right_leg_gaussian_mask.png
004.png,left_leg,no_injury,no_injury,no_injury,0.26323414,0.73676586,0.26323414,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/004_left_leg_gaussian_mask.png
005.png,right_hand,no_injury,no_injury,no_injury,0.00004272,0.99995732,0.00004272,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/005_right_arm_gaussian_mask.png
005.png,left_hand,no_injury,no_injury,no_injury,0.00062895,0.99937111,0.00062895,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/005_left_arm_gaussian_mask.png
005.png,right_leg,no_injury,no_injury,no_injury,0.00010101,0.99989903,0.00010101,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/005_right_leg_gaussian_mask.png
005.png,left_leg,no_injury,no_injury,no_injury,0.00016168,0.99983835,0.00016168,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/005_left_leg_gaussian_mask.png
006.png,right_hand,no_injury,no_injury,no_injury,0.00010074,0.99989927,0.00010074,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/006_right_arm_gaussian_mask.png
006.png,left_hand,no_injury,no_injury,no_injury,0.00000601,0.99999404,0.00000601,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/006_left_arm_gaussian_mask.png
006.png,right_leg,injury,no_injury,no_injury,0.00044840,0.99955159,0.00044840,no,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/006_right_leg_gaussian_mask.png
006.png,left_leg,no_injury,no_injury,no_injury,0.00024877,0.99975127,0.00024877,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/006_left_leg_gaussian_mask.png
007.png,right_hand,no_injury,no_injury,no_injury,0.03996292,0.96003705,0.03996292,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/007_right_arm_gaussian_mask.png
007.png,left_hand,injury,injury,injury,0.65174329,0.34825674,0.65174329,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/007_left_arm_gaussian_mask.png
007.png,right_leg,no_injury,injury,injury,0.96195972,0.03804025,0.96195972,no,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/007_right_leg_gaussian_mask.png
007.png,left_leg,no_injury,no_injury,no_injury,0.39254737,0.60745257,0.39254737,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/007_left_leg_gaussian_mask.png
008.png,right_hand,injury,injury,injury,0.99994695,0.00005300,0.99994695,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/008_right_arm_gaussian_mask.png
008.png,left_hand,no_injury,no_injury,no_injury,0.00782092,0.99217904,0.00782092,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/008_left_arm_gaussian_mask.png
008.png,right_leg,no_injury,no_injury,no_injury,0.03514465,0.96485537,0.03514465,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/008_right_leg_gaussian_mask.png
008.png,left_leg,no_injury,injury,injury,0.94976795,0.05023199,0.94976795,no,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/008_left_leg_gaussian_mask.png
009.png,right_hand,injury,injury,injury,0.99974459,0.00025536,0.99974459,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/009_right_arm_gaussian_mask.png
009.png,left_hand,no_injury,no_injury,no_injury,0.00435047,0.99564952,0.00435047,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/009_left_arm_gaussian_mask.png
009.png,right_leg,injury,no_injury,no_injury,0.05461873,0.94538128,0.05461873,no,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/009_right_leg_gaussian_mask.png
009.png,left_leg,no_injury,injury,injury,0.99079204,0.00920796,0.99079204,no,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/009_left_leg_gaussian_mask.png
010.png,right_hand,no_injury,no_injury,no_injury,0.00463318,0.99536681,0.00463318,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/010_right_arm_gaussian_mask.png
010.png,left_hand,injury,no_injury,no_injury,0.02151279,0.97848719,0.02151279,no,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/010_left_arm_gaussian_mask.png
010.png,right_leg,no_injury,no_injury,no_injury,0.00004119,0.99995875,0.00004119,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/010_right_leg_gaussian_mask.png
010.png,left_leg,no_injury,no_injury,no_injury,0.02297274,0.97702718,0.02297274,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/010_left_leg_gaussian_mask.png
011.png,right_hand,no_injury,no_injury,no_injury,0.00013415,0.99986577,0.00013415,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/011_right_arm_gaussian_mask.png
011.png,left_hand,injury,no_injury,no_injury,0.00079328,0.99920672,0.00079328,no,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/011_left_arm_gaussian_mask.png
011.png,right_leg,no_injury,no_injury,no_injury,0.01242432,0.98757565,0.01242432,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/011_right_leg_gaussian_mask.png
011.png,left_leg,no_injury,no_injury,no_injury,0.00025169,0.99974829,0.00025169,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/011_left_leg_gaussian_mask.png
012.png,right_hand,no_injury,no_injury,no_injury,0.00085289,0.99914706,0.00085289,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/012_right_arm_gaussian_mask.png
012.png,left_hand,no_injury,no_injury,no_injury,0.00000992,0.99999011,0.00000992,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/012_left_arm_gaussian_mask.png
012.png,right_leg,no_injury,no_injury,no_injury,0.00122134,0.99877864,0.00122134,yes,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/012_right_leg_gaussian_mask.png
012.png,left_leg,injury,no_injury,no_injury,0.00029705,0.99970287,0.00029705,no,/Users/kushgarg/Desktop/Programs/cv_project/Results/batch_reports/part_masks/012_left_leg_gaussian_mask.png
